"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
1.4065, 0.520649, -0.05, 0, 0, 0, 0, 0, 0
1.79464, 0.520649, -0.05, 1, 0, 0, 0, 0, 0
2.18279, 0.520649, -0.05, 2, 0, 0, 0, 0, 0
2.57093, 0.520649, -0.05, 3, 0, 0, 0, 0, 0
2.95907, 0.520649, -0.05, 4, 0, 0, 0, 0, 0
3.34721, 0.520649, -0.05, 5, 0, 0, 0, 0, 0
3.73536, 0.520649, -0.05, 6, 0, 0, 0, 0, 0
4.1235, 0.520649, -0.05, 7, 0, 0, 0, 0, 0
1.4065, 0.757883, -0.05, 0, 1, 0, 0, 0, 0
1.79455, 0.726404, -0.05, 1, 1, 0, 1, 1, 0
2.1827, 0.755377, -0.05, 2, 1, 0, 1, 1, 0
2.57229, 0.759784, -0.05, 3, 1, 0, 1, 1, 0
2.96934, 0.777361, -0.05, 4, 1, 0, 1, 1, 0
3.34811, 0.76219, -0.05, 5, 1, 0, 1, 1, 0
3.69577, 0.608986, -0.05, 6, 1, 0, 1, 1, 0
4.1235, 0.757883, -0.05, 7, 1, 0, 0, 0, 0
1.4065, 0.995116, -0.05, 0, 2, 0, 0, 0, 0
1.79431, 0.880981, -0.05, 1, 2, 0, 1, 1, 0
2.18301, 0.991504, -0.05, 2, 2, 0, 1, 1, 0
2.57137, 1.00053, -0.05, 3, 2, 0, 1, 1, 0
2.96449, 0.998436, -0.05, 4, 2, 0, 1, 1, 0
3.3511, 1.01228, -0.05, 5, 2, 0, 1, 1, 0
3.71771, 0.949321, -0.05, 6, 2, 0, 1, 1, 0
4.1235, 0.995116, -0.05, 7, 2, 0, 0, 0, 0
1.4065, 1.23235, -0.05, 0, 3, 0, 0, 0, 0
1.79464, 1.23235, -0.05, 1, 3, 0, 0, 0, 0
2.18279, 1.23235, -0.05, 2, 3, 0, 0, 0, 0
2.57093, 1.23235, -0.05, 3, 3, 0, 0, 0, 0
2.95907, 1.23235, -0.05, 4, 3, 0, 0, 0, 0
3.34721, 1.23235, -0.05, 5, 3, 0, 0, 0, 0
3.73536, 1.23235, -0.05, 6, 3, 0, 0, 0, 0
4.1235, 1.23235, -0.05, 7, 3, 0, 0, 0, 0
1.4065, 0.520649, 0.17, 0, 0, 1, 0, 0, 0
1.79464, 0.520649, 0.17, 1, 0, 1, 0, 0, 0
2.18279, 0.520649, 0.17, 2, 0, 1, 0, 0, 0
2.57093, 0.520649, 0.17, 3, 0, 1, 0, 0, 0
2.95907, 0.520649, 0.17, 4, 0, 1, 0, 0, 0
3.34721, 0.520649, 0.17, 5, 0, 1, 0, 0, 0
3.73536, 0.520649, 0.17, 6, 0, 1, 0, 0, 0
4.1235, 0.520649, 0.17, 7, 0, 1, 0, 0, 0
1.4065, 0.757883, 0.17, 0, 1, 1, 0, 0, 0
1.7946, 0.691306, 0.16727, 1, 1, 1, 1, 1, 1
2.18264, 0.752337, 0.174303, 2, 1, 1, 1, 1, 1
2.57329, 0.760494, 0.189199, 3, 1, 1, 1, 1, 1
2.97945, 0.782886, 0.200756, 4, 1, 1, 1, 1, 1
3.35968, 0.761321, 0.168538, 5, 1, 1, 1, 1, 1
3.67641, 0.511404, 0.143157, 6, 1, 1, 1, 1, 1
4.1235, 0.757883, 0.17, 7, 1, 1, 0, 0, 0
1.4065, 0.995116, 0.17, 0, 2, 1, 0, 0, 0
1.79438, 0.762486, 0.160976, 1, 2, 1, 1, 1, 1
2.18319, 0.987415, 0.183345, 2, 2, 1, 1, 1, 1
2.56988, 1.00272, 0.209956, 3, 2, 1, 1, 1, 1
2.96846, 0.989223, 0.215093, 4, 2, 1, 1, 1, 1
3.36307, 1.02924, 0.176453, 5, 2, 1, 1, 1, 1
3.714, 0.924254, 0.164593, 6, 2, 1, 1, 1, 1
4.1235, 0.995116, 0.17, 7, 2, 1, 0, 0, 0
1.4065, 1.23235, 0.17, 0, 3, 1, 0, 0, 0
1.79464, 1.23235, 0.17, 1, 3, 1, 0, 0, 0
2.18279, 1.23235, 0.17, 2, 3, 1, 0, 0, 0
2.57093, 1.23235, 0.17, 3, 3, 1, 0, 0, 0
2.95907, 1.23235, 0.17, 4, 3, 1, 0, 0, 0
3.34721, 1.23235, 0.17, 5, 3, 1, 0, 0, 0
3.73536, 1.23235, 0.17, 6, 3, 1, 0, 0, 0
4.1235, 1.23235, 0.17, 7, 3, 1, 0, 0, 0
1.4065, 0.520649, 0.39, 0, 0, 2, 0, 0, 0
1.79464, 0.520649, 0.39, 1, 0, 2, 0, 0, 0
2.18279, 0.520649, 0.39, 2, 0, 2, 0, 0, 0
2.57093, 0.520649, 0.39, 3, 0, 2, 0, 0, 0
2.95907, 0.520649, 0.39, 4, 0, 2, 0, 0, 0
3.34721, 0.520649, 0.39, 5, 0, 2, 0, 0, 0
3.73536, 0.520649, 0.39, 6, 0, 2, 0, 0, 0
4.1235, 0.520649, 0.39, 7, 0, 2, 0, 0, 0
1.4065, 0.757883, 0.39, 0, 1, 2, 0, 0, 0
1.796, 0.673939, 0.368533, 1, 1, 2, 1, 1, 1
2.18302, 0.752956, 0.393816, 2, 1, 2, 1, 1, 1
2.57112, 0.762217, 0.395146, 3, 1, 2, 1, 1, 1
2.98126, 0.799001, 0.401908, 4, 1, 2, 1, 1, 1
3.36495, 0.745434, 0.377729, 5, 1, 2, 1, 1, 1
3.67406, 0.463864, 0.319961, 6, 1, 2, 1, 1, 1
4.1235, 0.757883, 0.39, 7, 1, 2, 0, 0, 0
1.4065, 0.995116, 0.39, 0, 2, 2, 0, 0, 0
1.79755, 0.740154, 0.350151, 1, 2, 2, 1, 1, 1
2.18393, 0.989188, 0.402674, 2, 2, 2, 1, 1, 1
2.56563, 1.00688, 0.402753, 3, 2, 2, 1, 1, 1
2.96719, 1.01151, 0.394163, 4, 2, 2, 1, 1, 1
3.36646, 1.03417, 0.389678, 5, 2, 2, 1, 1, 1
3.71583, 0.917134, 0.374198, 6, 2, 2, 1, 1, 1
4.1235, 0.995116, 0.39, 7, 2, 2, 0, 0, 0
1.4065, 1.23235, 0.39, 0, 3, 2, 0, 0, 0
1.79464, 1.23235, 0.39, 1, 3, 2, 0, 0, 0
